scenario_id,tenants,total_learners,coaches,simulations,mean_activated,mean_completed,completion_rate_pct,mean_review_jobs,mean_intervention_jobs,mean_total_jobs,mean_demand_capacity_pct,p50_turnaround_hours,p95_turnaround_hours,target_sla_hours,target_sla_met_pct,within_48h_pct,within_72h_pct,mean_max_waiting_jobs,mean_peak_jobs_per_day,mean_peak_telemetry_events_per_day,worst_tenant_p95_turnaround_hours
ac_dipak_pilot_25,1,25,1,5000,21.23,12.05,48.21,38.88,3.20,42.08,8.55,12.56,38.03,24.00,86.61,100.00,100.00,4.01,3.67,189.57,38.03
ac_cohort_100,1,100,1,3000,81.92,44.55,44.55,246.08,14.94,261.02,45.03,14.48,40.54,24.00,80.25,99.44,100.00,13.09,10.20,528.73,40.54
ac_launch_250,1,250,2,2000,205.10,111.33,44.53,738.93,37.52,776.45,39.96,12.63,37.72,24.00,84.95,99.99,100.00,31.27,22.31,1090.45,37.72
future_5_tenants_supported,5,1250,8,1000,1024.56,554.55,44.36,3679.41,187.89,3867.30,37.32,11.37,36.47,24.00,86.87,100.00,100.00,138.68,87.31,4662.41,36.54
future_5_tenants_understaffed,5,1250,4,1000,1025.83,556.01,44.48,3688.45,187.48,3875.93,99.69,258.82,431.62,24.00,10.38,18.35,22.51,809.26,87.90,4681.44,431.75
